,Código do curso,Nome do curso,Média,Desvio Padrão,Variância
825−Licenciatura em Matemática / Física,825,Licenciatura em Matemática / Física,30.11111111111111,3.018461712712472,9.11111111111111
470−Fisioterapia,470,Fisioterapia,48.0,3.0413812651491097,9.25
999−Treinamento Exatas,999,Treinamento Exatas,49.6,3.0495901363953815,9.3
445−Enfermagem − Ribeirão Preto,445,Enfermagem − Ribeirão Preto,33.333333333333336,3.0822070014844885,9.500000000000002
770−Engenharia Física − Lorena,770,Engenharia Física − Lorena,46.55555555555556,3.086709862908689,9.527777777777777
430−Educação Física e Esporte,430,Educação Física e Esporte,38.333333333333336,3.1224989991991996,9.750000000000002
830−Matemática Aplicada − Ribeirão Preto,830,Matemática Aplicada − Ribeirão Preto,32.666666666666664,3.1622776601683795,10.0
"436−Educação Física e Saúde − USP Leste, SP",436,"Educação Física e Saúde − USP Leste, SP",31.428571428571427,3.2071349029490923,10.285714285714285
205−Gestão Ambiental − Piracicaba,205,Gestão Ambiental − Piracicaba,32.44444444444444,3.2829526005987013,10.777777777777777
425−Ciências dos Alimentos − Piracicaba,425,Ciências dos Alimentos − Piracicaba,33.888888888888886,3.3333333333333335,11.11111111111111
195−Geografia,195,Geografia,38.22222222222222,3.3458099833141217,11.194444444444443
